ID,school_name,percent_female,percent_male,economic_need_index
01M015,P.S. 015 Roberto Clemente,0.472,0.528,0.889
01M019,P.S. 019 Asher Levy,0.463,0.537,0.625
01M020,P.S. 020 Anna Silver,0.477,0.523,0.674
01M034,P.S. 034 Franklin D. Roosevelt,0.508,0.492,0.856
01M063,The STAR Academy - P.S.63,0.493,0.507,0.705
01M064,P.S. 064 Robert Simon,0.407,0.593,0.822
01M110,P.S. 110 Florence Nightingale,0.477,0.523,0.476
01M134,P.S. 134 Henrietta Szold,0.475,0.525,0.817
01M140,P.S. 140 Nathan Straus,0.5,0.5,0.855
01M142,P.S. 142 Amalia Castro,0.452,0.548,0.85
01M184,P.S. 184m Shuang Wen,0.499,0.501,0.537
01M188,P.S. 188 The Island School,0.442,0.558,0.921
01M292,Orchard Collegiate Academy,0.368,0.632,0.873
01M315,The East Village Community School,0.482,0.518,0.267
01M332,University Neighborhood Middle School,0.445,0.555,0.732
01M361,The Children's Workshop School,0.483,0.517,0.423
01M363,Neighborhood School,0.457,0.543,0.397
01M364,Earth School,0.479,0.521,0.414
01M378,School for Global Leaders,0.443,0.557,0.758
01M448,University Neighborhood High School,0.431,0.569,0.766
01M450,East Side Community School,0.493,0.507,0.587
01M458,Forsyth Satellite Academy,0.586,0.414,0.723
01M509,Marta Valle High School,0.61,0.39,0.789
01M515,Lower East Side Preparatory High School,0.447,0.553,0.895
01M539,"New Explorations into Science, Technology and Math",0.505,0.495,0.253
01M650,Cascades High School,0.584,0.416,0.646
01M696,Bard High School Early College,0.589,0.411,0.37
01M839,Tompkins Square Middle School,0.526,0.474,0.581
02M001,P.S. 001 Alfred E. Smith,0.472,0.527,0.701
02M002,P.S. 002 Meyer London,0.466,0.534,0.814
02M003,P.S. 003 Charrette School,0.475,0.525,0.14
02M006,P.S. 006 Lillie D. Blake,0.459,0.541,0.104
02M011,P.S. 011 William T. Harris,0.471,0.529,0.296
02M033,P.S. 033 Chelsea Prep,0.505,0.495,0.392
02M040,P.S. 040 Augustus Saint-Gaudens,0.513,0.487,0.112
02M041,P.S. 041 Greenwich Village,0.52,0.48,0.052
02M042,P.S. 042 Benjamin Altman,0.463,0.537,0.729
02M047,47 The American Sign Language and English Secondar,0.651,0.349,0.694
02M051,P.S. 051 Elias Howe,0.476,0.524,0.473
02M059,P.S. 059 Beekman Hill International,0.476,0.524,0.07
02M077,P.S. 77 Lower Lab School,0.507,0.493,0.063
02M089,P.S. 89,0.459,0.541,0.058
02M104,J.H.S. 104 Simon Baruch,0.439,0.561,0.438
02M111,P.S. 111 Adolph S. Ochs,0.489,0.511,0.519
02M114,East Side Middle School,0.522,0.478,0.084
02M116,P.S. 116 Mary Lindley Murray,0.489,0.511,0.28
02M124,P.S. 124 Yung Wing,0.46,0.54,0.54
02M126,P.S. 126 Jacob August Riis,0.478,0.522,0.719
02M130,P.S. 130 Hernando De Soto,0.485,0.515,0.596
02M131,M.S. 131,0.44,0.56,0.8
02M135,The Urban Assembly School for Emergency Management,0.56,0.44,0.706
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,0.298,0.702,0.706
02M150,P.S. 150,0.473,0.527,0.158
02M151,Yorkville Community School,0.48,0.52,0.342
02M158,P.S. 158 Bayard Taylor,0.489,0.511,0.103
02M167,J.H.S. 167 Robert F. Wagner,0.472,0.528,0.314
02M177,Yorkville East Middle School,0.451,0.549,0.237
02M183,P.S. 183 Robert L. Stevenson,0.447,0.553,0.062
02M198,P.S. 198 Isador E. Ida Straus,0.472,0.528,0.293
02M212,P.S. 212 Midtown West,0.534,0.466,0.181
02M217,P.S./I.S. 217 Roosevelt Island,0.482,0.518,0.245
02M225,Ella Baker School,0.519,0.481,0.319
02M234,P.S. 234 Independence School,0.497,0.503,0.053
02M255,M.S. 255 Salk School of Science,0.612,0.388,0.114
02M260,The Clinton School,0.723,0.277,0.183
02M267,"East Side Elementary School, PS 267",0.512,0.488,0.034
02M276,Battery Park City School,0.479,0.521,0.106
02M280,Manhattan Early College School for Advertising,0.529,0.471,0.572
02M281,The River School,0.474,0.526,0.179
02M282,Urban Assembly Maker Academy,0.327,0.673,0.648
02M288,Food and Finance High School,0.541,0.459,0.7
02M289,I.S. 289,0.547,0.453,0.396
02M290,P.S. 290 Manhattan New School,0.525,0.475,0.061
02M294,Essex Street Academy,0.506,0.494,0.642
02M296,High School of Hospitality Management,0.729,0.271,0.734
02M298,Pace High School,0.598,0.402,0.676
02M300,"Urban Assembly School of Design and Construction,",0.278,0.723,0.745
02M303,"Facing History School, The",0.511,0.489,0.795
02M305,"Urban Assembly Academy of Government and Law, The",0.556,0.444,0.748
02M308,Lower Manhattan Arts Academy,0.703,0.297,0.687
02M312,New York City Lab Middle School for Collaborative,0.492,0.508,0.296
02M313,"James Baldwin School, The: A School for Expedition",0.536,0.464,0.707
02M316,"Urban Assembly School of Business for Young Women,",1,0,0.701
02M340,Sixth Avenue Elementary School,0.523,0.477,0.092
02M343,The Peck Slip School,0.523,0.477,0.096
02M347,The 47 American Sign Language & English Lower Scho,0.492,0.508,0.578
02M374,Gramercy Arts High School,0.721,0.279,0.655
02M376,NYC iSchool,0.562,0.438,0.41
02M391,District 2 Pre-K Center,0.521,0.479,0.141
02M392,MANHATTAN BUSINESS ACADEMY,0.466,0.534,0.682
02M393,Business Of Sports School,0.346,0.654,0.713
02M394,Emma Lazarus High School,0.462,0.538,0.969
02M397,Spruce Street School,0.49,0.51,0.074
02M399,The High School For Language And Diplomacy,0.553,0.447,0.715
02M400,High School for Environmental Studies,0.498,0.502,0.696
02M407,Institute for Collaborative Education,0.49,0.51,0.267
02M408,Professional Performing Arts High School,0.745,0.255,0.338
02M411,Baruch College Campus High School,0.564,0.436,0.415
02M412,N.Y.C. Lab School for Collaborative Studies,0.56,0.44,0.27
02M413,School of the Future High School,0.499,0.501,0.335
02M414,N.Y.C. Museum School,0.594,0.406,0.583
02M416,Eleanor Roosevelt High School,0.592,0.408,0.186
02M418,Millennium High School,0.649,0.351,0.401
02M419,Landmark High School,0.559,0.441,0.785
02M420,High School for Health Professions and Human Servi,0.703,0.297,0.674
02M422,Quest to Learn,0.317,0.683,0.433
02M425,Leadership and Public Service High School,0.577,0.423,0.749
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.479,0.521,0.944
02M432,Murray Hill Academy,0.479,0.521,0.701
02M437,Hudson High School of Learning Technologies,0.337,0.663,0.745
02M438,International High School at Union Square,0.458,0.542,0.941
02M439,Manhattan Village Academy,0.644,0.356,0.607
02M442,"Ballet Tech, NYC Public School for Dance",0.533,0.467,0.454
02M449,Vanguard High School,0.542,0.458,0.655
02M459,Manhattan International High School,0.462,0.538,0.914
02M475,Stuyvesant High School,0.427,0.573,0.32
02M489,High School of Economics and Finance,0.406,0.594,0.65
02M500,Unity Center for Urban Technologies,0.329,0.671,0.777
02M507,Urban Assembly Gateway School for Technology,0.21,0.79,0.63
02M519,Talent Unlimited High School,0.823,0.177,0.451
02M520,Murry Bergtraum High School for Business Careers,0.487,0.513,0.725
