ID,school_name,instruction_score,collaboration_score,supportive_environment_score,school_leadership_score,family_community_scores,average_survey_result,positive_score
01M292,Henry Street School for International Studies,0.8,0.76,0.73,0.89,0.83,0.802,0.91
01M448,University Neighborhood High School,0.91,0.91,0.76,0.95,0.85,,0.92
01M450,East Side Community School,0.92,0.94,0.84,0.96,0.94,,0.95
01M509,Marta Valle High School,0.74,0.69,0.64,0.64,0.82,,0.75
01M539,"New Explorations into Science, Technology and Math",0.79,0.65,0.74,0.61,0.9,,0.75
01M696,Bard High School Early College,0.87,0.8,0.83,0.86,0.86,,0.87
02M047,47 The American Sign Language and English Secondar,0.82,0.81,0.71,0.85,0.82,,0.87
02M135,The Urban Assembly School for Emergency Management,0.81,0.66,0.62,0.73,0.81,,0.79
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,0.75,0.84,0.68,0.92,0.83,,0.9
02M260,M.S. 260 Clinton School Writers & Artists,0.87,0.79,0.76,0.8,0.89,,0.9
02M280,Manhattan Early College School for Advertising,0.75,0.86,0.7,0.94,0.9,,0.92
02M282,Urban Assembly Maker Academy,0.88,0.93,0.73,0.98,0.89,,0.96
02M288,Food and Finance High School,0.79,0.79,0.67,0.72,0.75,,0.84
02M294,Essex Street Academy,0.84,0.92,0.8,0.94,0.89,,0.95
02M296,High School of Hospitality Management,0.83,0.8,0.73,0.85,0.81,,0.87
02M298,Pace High School,0.82,0.76,0.71,0.89,0.83,,0.91
02M300,"Urban Assembly School of Design and Construction,",0.69,0.76,0.65,0.84,0.8,,0.88
02M303,"Facing History School, The",0.84,0.88,0.82,0.92,0.86,,0.94
02M305,"Urban Assembly Academy of Government and Law, The",0.71,0.75,0.61,0.8,0.74,,0.81
02M308,Lower Manhattan Arts Academy,0.83,0.75,0.67,0.86,0.79,,0.81
02M316,"Urban Assembly School of Business for Young Women,",0.74,0.74,0.59,0.84,0.75,,0.8
02M374,Gramercy Arts High School,0.7,0.73,0.59,0.62,0.74,,0.75
02M376,NYC iSchool,0.88,0.9,0.8,0.95,0.88,,0.93
02M392,MANHATTAN BUSINESS ACADEMY,0.83,0.8,0.73,0.91,0.8,,0.87
02M393,Business Of Sports School,0.83,0.75,0.69,0.86,0.84,,0.85
02M399,The High School For Language And Diplomacy,0.76,0.63,0.64,0.64,0.77,,0.77
02M400,High School for Environmental Studies,0.84,0.81,0.68,0.84,0.79,,0.89
02M407,Institute for Collaborative Education,0.94,0.97,0.86,0.98,0.93,,0.96
02M408,Professional Performing Arts High School,0.89,0.85,0.7,0.93,0.89,,0.9
02M411,Baruch College Campus High School,0.89,0.88,0.82,0.75,0.81,,0.86
02M412,N.Y.C. Lab School for Collaborative Studies,0.9,0.92,0.79,0.94,0.9,,0.94
02M413,School of the Future High School,0.87,0.9,0.74,0.9,0.86,,0.89
02M414,N.Y.C. Museum School,0.84,0.69,0.76,0.67,0.79,,0.81
